scale,posX,posY,posZ,pecVX,pecVY,pecVZ,mvir,m200c_all,rvir,rs,vmax,pid,upid,desc_id,mmp,dfid,id,num_prog,lastprog_dfid,sam_mvir
0.27079999446868896,74.32108574840106,76.46522300287074,77.27064650809422,-97.83000183105469,238.4499969482422,92.04000091552734,35210848052.451195,35233198748.32365,105.25108431760822,25.69661874420116,75.12000274658203,-1,-1,375166,1,177944,368212,2,179021,35210848052.451195
0.2669000029563904,74.33923554480866,76.41904419109018,77.2526615548109,-96.9800033569336,237.7100067138672,86.51000213623047,35076740825.51035,35102069986.58918,105.15422477148059,24.27656059736929,75.80999755859375,-1,-1,368212,1,177945,361210,1,179006,34962448326.62792
0.2630999982357025,74.35799355550239,76.37277443137899,77.23659787656226,-99.31999969482422,234.52000427246094,84.56999969482422,34599911738.93607,34638653148.56206,104.70719295542067,21.61823926961754,77.02999877929688,-1,-1,361210,1,177946,354180,3,179006,34431082199.37416
0.25920000672340393,74.37664924977416,76.32749373041345,77.22175631113156,-97.19000244140625,227.24000549316406,76.43000030517578,33616450603.486813,33641782816.27179,103.73267451016171,19.606615992207725,79.31999969482422,-1,-1,354180,1,177947,347092,1,178926,33795262273.878704
0.25540000200271606,74.39635084524824,76.28251997871382,77.2087621255419,-100.01000213623047,218.9600067138672,69.80000305175781,33169424479.21323,33202205906.72031,103.29905751387065,20.227983622806043,79.83999633789062,-1,-1,347092,1,177948,339988,2,178926,33050215681.716583
0.2515999972820282,74.41589896608937,76.24021782247662,77.19481298668056,-96.20999908447266,209.2100067138672,69.1500015258789,32364775014.15586,32405005656.385036,102.4839821595084,22.56593660170729,78.63999938964844,-1,-1,339988,1,177949,332814,3,178888,32265383996.42378
0.24770000576972961,74.43424202684957,76.19946178106024,77.18021015956778,-97.9800033569336,206.6199951171875,79.16000366210938,31262108132.916107,31299360309.938904,101.33064871412722,25.812844515308644,76.5,-1,-1,332814,1,177950,325618,2,178827,31300254459.84205
0.24390000104904175,74.45546131591615,76.16168996861786,77.16341889787405,-94.27999877929688,200.75999450683594,77.30999755859375,29593206329.906124,29627476990.016388,99.51870446055217,31.072866399745404,73.4000015258789,-1,-1,325618,1,177951,318358,1,178789,29721503108.329605
0.24009999632835388,74.47250836866478,76.1188193878142,77.14888996595491,-92.43000030517578,197.3000030517578,81.26000213623047,27462373869.766056,27502607563.701385,97.10177457238466,33.734167693286906,71.2300033569336,-1,-1,318358,1,177952,311051,1,178789,29350766586.201756
0.2362000048160553,74.49238617575448,76.07855787577066,77.13099596060222,-92.4800033569336,198.49000549316406,85.1500015258789,25078229962.747726,25081209953.807182,94.22738796160803,30.57666585868525,69.62000274658203,-1,-1,311051,1,177953,303715,2,178789,25063328481.597378
0.23240000009536743,74.51183198017364,76.03814857333983,77.11302237581023,-91.9800033569336,199.22999572753906,83.97000122070312,22649381612.278347,22647890853.822083,91.09819935466258,25.198926088654005,68.1500015258789,-1,-1,303715,1,177954,296319,1,178764,22997019770.526
0.22849999368190765,74.53054451690205,75.996738843672,77.09558879435639,-93.88999938964844,199.77000427246094,87.05000305175781,21263597270.153477,21269557252.27239,89.22962296152946,22.889286337408965,68.0,-1,-1,296319,1,177955,288875,1,178764,22419907042.16957
0.22470000386238098,74.54851810169404,75.95341920746081,77.07715478566556,-89.30999755859375,203.2899932861328,86.98999786376953,20444047849.798836,20447027840.85829,88.08821506355295,21.753836949950554,68.12999725341797,-1,-1,288875,1,177956,281423,2,178764,22419907042.16957
0.22089999914169312,74.5681116965005,75.91029851984788,77.06024415481288,-87.79000091552734,202.91000366210938,83.76000213623047,20250334698.25659,20250334698.25659,87.82297679234361,22.87289581503461,68.37000274658203,-1,-1,281423,1,177957,273942,3,178755,22328714433.020412
